benchmark,algorithm,time
npuzzle_4x4_len6_9.txt,astar,0.234
npuzzle_3x3_len3_2.txt,bfs,0.2334
npuzzle_3x3_len3_2.txt,dfs,0.2594
npuzzle_3x3_len3_2.txt,astar,0.2328
npuzzle_3x3_len2_6.txt,bfs,0.2497
npuzzle_3x3_len2_6.txt,dfs,0.2552
npuzzle_3x3_len2_6.txt,astar,0.2272
npuzzle_3x3_len2_5.txt,bfs,0.2188
npuzzle_3x3_len2_5.txt,dfs,0.2269
npuzzle_3x3_len2_5.txt,astar,0.2299
npuzzle_3x3_len3_6.txt,bfs,0.2223
npuzzle_3x3_len3_6.txt,dfs,0.2254
npuzzle_3x3_len3_6.txt,astar,0.2473
npuzzle_5x5_len5_3.txt,bfs,0.2785
npuzzle_5x5_len5_3.txt,dfs,0.2265
npuzzle_5x5_len5_3.txt,astar,0.2262
npuzzle_5x5_len7_2.txt,bfs,0.2323
npuzzle_5x5_len7_2.txt,dfs,0.248
npuzzle_5x5_len7_2.txt,astar,0.2286
npuzzle_4x4_len9_4.txt,bfs,0.2289
npuzzle_4x4_len9_4.txt,dfs,0.2345
npuzzle_4x4_len9_4.txt,astar,0.2306
npuzzle_5x5_len4_1.txt,bfs,0.2769
npuzzle_5x5_len4_1.txt,dfs,0.2323
npuzzle_5x5_len4_1.txt,astar,0.231
npuzzle_4x4_len4_1.txt,bfs,0.2315
npuzzle_4x4_len4_1.txt,dfs,0.2259
npuzzle_4x4_len4_1.txt,astar,0.2235
npuzzle_4x4_len5_0.txt,bfs,0.2257
npuzzle_4x4_len5_0.txt,dfs,0.2408
npuzzle_4x4_len5_0.txt,astar,0.2164
npuzzle_3x3_len2_0.txt,bfs,0.2242
npuzzle_3x3_len2_0.txt,dfs,0.2479
npuzzle_3x3_len2_0.txt,astar,0.2368
npuzzle_5x5_len4_9.txt,bfs,0.2306
npuzzle_5x5_len4_9.txt,dfs,0.2249
npuzzle_5x5_len4_9.txt,astar,0.2198
npuzzle_3x3_len6_6.txt,bfs,0.2182
npuzzle_3x3_len6_6.txt,dfs,0.2389
npuzzle_3x3_len6_6.txt,astar,0.2665
npuzzle_5x5_len2_7.txt,bfs,0.215
npuzzle_5x5_len2_7.txt,dfs,0.2353
npuzzle_5x5_len2_7.txt,astar,0.2357
npuzzle_4x4_len7_3.txt,bfs,0.2093
npuzzle_4x4_len7_3.txt,dfs,0.2233
npuzzle_4x4_len7_3.txt,astar,0.2466
npuzzle_3x3_len5_7.txt,bfs,0.2545
npuzzle_3x3_len5_7.txt,dfs,0.253
npuzzle_3x3_len5_7.txt,astar,0.2468
npuzzle_4x4_len6_1.txt,bfs,0.249
npuzzle_4x4_len6_1.txt,dfs,0.2713
npuzzle_4x4_len6_1.txt,astar,0.3234
npuzzle_3x3_len4_6.txt,bfs,0.2546
npuzzle_3x3_len4_6.txt,dfs,0.2494
npuzzle_3x3_len4_6.txt,astar,0.2889
npuzzle_3x3_len10_3.txt,bfs,0.253
npuzzle_3x3_len10_3.txt,dfs,0.2486
npuzzle_3x3_len10_3.txt,astar,0.244
npuzzle_5x5_len4_3.txt,bfs,0.3145
npuzzle_5x5_len4_3.txt,dfs,0.2784
npuzzle_5x5_len4_3.txt,astar,0.2276
npuzzle_4x4_len4_5.txt,bfs,0.2264
npuzzle_4x4_len4_5.txt,dfs,0.245
npuzzle_4x4_len4_5.txt,astar,0.2503
npuzzle_4x4_len4_6.txt,bfs,0.2448
npuzzle_4x4_len4_6.txt,dfs,0.2578
npuzzle_4x4_len4_6.txt,astar,0.2822
npuzzle_5x5_len8_9.txt,bfs,0.3792
npuzzle_5x5_len8_9.txt,dfs,0.3792
npuzzle_5x5_len8_9.txt,astar,0.302
npuzzle_3x3_len1_0.txt,bfs,0.2364
npuzzle_3x3_len1_0.txt,dfs,0.2507
npuzzle_3x3_len1_0.txt,astar,0.2545
npuzzle_3x3_len2_1.txt,bfs,0.2431
npuzzle_3x3_len2_1.txt,dfs,0.2308
npuzzle_3x3_len2_1.txt,astar,0.2526
npuzzle_3x3_len5_2.txt,bfs,0.3735
npuzzle_3x3_len5_2.txt,dfs,0.4137
npuzzle_3x3_len5_2.txt,astar,0.2909
npuzzle_4x4_len9_3.txt,bfs,0.2381
npuzzle_4x4_len9_3.txt,dfs,0.2328
npuzzle_4x4_len9_3.txt,astar,0.2462
npuzzle_3x3_len9_1.txt,bfs,0.2444
npuzzle_3x3_len9_1.txt,dfs,0.2451
npuzzle_3x3_len9_1.txt,astar,0.2758
npuzzle_5x5_len1_9.txt,bfs,0.2293
npuzzle_5x5_len1_9.txt,dfs,0.2233
npuzzle_5x5_len1_9.txt,astar,0.2348
npuzzle_5x5_len3_1.txt,bfs,0.2289
npuzzle_5x5_len3_1.txt,dfs,0.2336
npuzzle_5x5_len3_1.txt,astar,0.2295
